mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
control,0,59,0,0.0,9,3,0.3333333333333333,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,59,13,9,9,1,51,4.109837293624878
control,1,59,0,0.0,7,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,8,7,7,0,52,3.876960515975952
control,2,59,0,0.0,8,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,59,12,8,9,1,51,4.0804266929626465
control,3,59,0,0.0,8,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,10,8,8,0,51,4.199279546737671
control,4,59,0,0.0,9,1,0.1111111111111111,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,10,9,9,0,50,4.140314340591431
control,5,59,0,0.0,12,4,0.3333333333333333,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,12,12,12,0,47,4.166255712509155
control,6,59,0,0.0,14,4,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,14,14,14,0,45,4.1592957973480225
control,7,59,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,9.799999999999981,59,14,13,15,5,49,4.112816095352173
control,8,59,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,9,7,7,0,52,4.249471664428711
control,9,59,0,0.0,14,4,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,5.999999999999995,59,15,14,16,3,45,4.1823132038116455
control,10,59,0,0.0,11,3,0.2727272727272727,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.30000000000000004,59,12,11,11,1,48,4.162047863006592
control,11,59,0,0.0,12,2,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,12,12,12,0,47,4.282270431518555
control,12,59,0,0.0,8,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,11,8,8,0,51,4.2587597370147705
control,13,59,0,0.0,13,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,59,14,13,13,0,46,4.212973594665527
control,14,59,0,0.0,8,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.3000000000000016,59,8,8,9,1,51,4.116826057434082
control,15,59,0,0.0,13,2,0.15384615384615385,0,0,0.0,0.0,0.0,100.0,100.0,0.0,2.700000000000001,59,13,13,13,2,47,4.253143787384033
control,16,59,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.600000000000002,59,10,8,9,1,51,4.305494070053101
control,17,59,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.5000000000000018,59,7,6,7,1,53,4.261019229888916
control,18,59,0,0.0,14,2,0.14285714285714285,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.7,59,16,14,14,1,45,4.219517707824707
control,19,59,0,0.0,13,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,4.100000000000001,59,15,13,15,3,46,4.289481163024902
detection,0,59,9,0.15254237288135594,9,0,0.0,9,93,10.37777777780015,0.32222222222310076,1.8763888888888398,100.0,100.0,0.0,0.0,59,10,9,9,0,50,6.67874002456665
detection,1,59,13,0.22033898305084745,11,1,0.09090909090909091,13,132,9.246153846170902,0.246153846154112,2.7118055555556966,100.0,100.0,0.0,0.0,59,13,11,11,0,48,6.735105514526367
detection,2,59,9,0.15254237288135594,9,2,0.2222222222222222,9,92,9.36666666669536,0.31111111111201556,1.8756944444443953,100.0,100.0,0.0,0.0,59,9,9,9,0,50,6.944267511367798
detection,3,59,9,0.15254237288135594,8,0,0.0,9,92,9.200000000024879,0.188888888889475,1.8763888888888398,100.0,100.0,0.0,0.0,59,10,8,8,0,51,6.814138174057007
detection,4,59,12,0.2033898305084746,12,3,0.25,12,119,9.175000000022797,0.2750000000006878,2.501388888888982,100.0,100.0,0.0,0.0,59,12,12,12,0,47,6.515612840652466
detection,5,59,11,0.1864406779661017,11,0,0.0,11,111,9.472727272751316,0.2545454545460085,2.293055555555601,100.0,100.0,0.0,0.0,59,11,11,11,0,48,6.635674953460693
detection,6,59,10,0.1694915254237288,10,1,0.1,10,100,9.230000000017288,0.3100000000005025,2.0847222222222204,100.0,100.0,0.0,0.0,59,11,10,10,0,49,6.402061939239502
detection,7,59,10,0.1694915254237288,10,2,0.2,10,101,9.030000000026874,0.5600000000016877,2.084027777777776,100.0,100.0,0.0,0.0,59,13,10,10,0,49,6.6821794509887695
detection,8,59,10,0.1694915254237288,10,0,0.0,10,101,7.420000000014443,0.2700000000005048,2.0854166666666654,100.0,100.0,0.0,0.0,59,11,10,10,0,49,6.662928342819214
detection,9,59,13,0.22033898305084745,12,0,0.0,13,130,8.253846153865465,0.3153846153856206,2.7090277777779184,100.0,100.0,0.0,0.0,59,13,12,12,0,47,6.836777687072754
detection,10,59,14,0.23728813559322035,13,1,0.07692307692307693,14,139,9.921428571452777,0.2428571428574092,2.9194444444446326,100.0,100.0,0.0,0.0,59,14,13,13,0,46,6.875400066375732
detection,11,59,14,0.23728813559322035,14,1,0.07142857142857142,14,141,9.878571428595064,0.450000000000957,2.9180555555557435,100.0,100.0,0.0,0.0,59,14,14,14,0,45,6.809694290161133
detection,12,59,13,0.22033898305084745,12,1,0.08333333333333333,13,129,8.19230769232491,0.43846153846198577,2.711111111111252,100.0,100.0,0.0,0.0,59,13,12,12,0,47,6.7362751960754395
detection,13,59,14,0.23728813559322035,12,1,0.08333333333333333,14,141,8.200000000020491,0.37142857142939484,2.9180555555557435,100.0,100.0,0.0,0.0,59,14,12,12,0,47,6.710813045501709
detection,14,59,15,0.2542372881355932,15,2,0.13333333333333333,15,152,9.360000000029656,0.3200000000010429,3.126388888889124,100.0,100.0,0.0,0.0,59,15,15,15,0,44,6.77318000793457
detection,15,59,12,0.2033898305084746,12,1,0.08333333333333333,12,120,9.200000000027861,0.37500000000125056,2.5006944444445374,100.0,100.0,0.0,0.0,59,14,12,12,0,47,6.899300575256348
detection,16,59,19,0.3220338983050847,17,1,0.058823529411764705,19,189,8.273684210538901,0.3631578947370683,3.962500000000425,100.0,100.0,0.0,0.0,59,19,17,17,0,42,6.947945833206177
detection,17,59,10,0.1694915254237288,10,0,0.0,10,101,9.580000000020982,0.22000000000030012,2.0847222222222204,100.0,100.0,0.0,0.0,59,11,10,10,0,49,6.935054540634155
detection,18,59,12,0.2033898305084746,11,0,0.0,12,121,7.9666666666839205,0.2250000000006954,2.502083333333427,100.0,100.0,0.0,0.0,59,12,11,11,0,48,6.991898775100708
detection,19,59,17,0.288135593220339,16,2,0.125,17,172,8.823529411787902,0.19411764705947623,3.5430555555558856,100.0,100.0,0.0,0.0,59,17,16,16,0,43,7.004302263259888
aware,0,59,9,0.15254237288135594,9,0,0.0,9,93,10.37777777780015,0.32222222222310076,1.8763888888888398,100.0,100.0,0.0,0.0,59,10,9,9,0,50,6.836182355880737
aware,1,59,13,0.22033898305084745,11,1,0.09090909090909091,13,132,9.246153846170902,0.246153846154112,2.7118055555556966,100.0,100.0,0.0,0.0,59,13,11,11,0,48,6.7534918785095215
aware,2,59,9,0.15254237288135594,9,2,0.2222222222222222,9,92,9.36666666669536,0.31111111111201556,1.8756944444443953,100.0,100.0,0.0,0.0,59,9,9,9,0,50,6.8927247524261475
aware,3,59,9,0.15254237288135594,8,0,0.0,9,92,9.200000000024879,0.188888888889475,1.8763888888888398,100.0,100.0,0.0,0.0,59,10,8,8,0,51,6.857746839523315
aware,4,59,12,0.2033898305084746,12,3,0.25,12,119,9.175000000022797,0.2750000000006878,2.501388888888982,100.0,100.0,0.0,0.0,59,12,12,12,0,47,7.177485704421997
aware,5,59,11,0.1864406779661017,11,0,0.0,11,111,9.472727272751316,0.2545454545460085,2.293055555555601,100.0,100.0,0.0,0.0,59,11,11,11,0,48,7.226903676986694
aware,6,59,10,0.1694915254237288,10,1,0.1,10,100,9.230000000017288,0.3100000000005025,2.0847222222222204,100.0,100.0,0.0,0.0,59,11,10,10,0,49,7.189253807067871
aware,7,59,10,0.1694915254237288,10,2,0.2,10,101,9.030000000026874,0.5600000000016877,2.084027777777776,100.0,100.0,0.0,0.0,59,13,10,10,0,49,6.975018501281738
aware,8,59,10,0.1694915254237288,10,0,0.0,10,101,7.420000000014443,0.2700000000005048,2.0854166666666654,100.0,100.0,0.0,0.0,59,11,10,10,0,49,6.699091911315918
aware,9,59,13,0.22033898305084745,12,0,0.0,13,130,8.253846153865465,0.3153846153856206,2.7090277777779184,100.0,100.0,0.0,0.0,59,13,12,12,0,47,6.995710849761963
aware,10,59,14,0.23728813559322035,13,1,0.07692307692307693,14,139,9.921428571452777,0.2428571428574092,2.9194444444446326,100.0,100.0,0.0,0.0,59,14,13,13,0,46,7.087974548339844
aware,11,59,14,0.23728813559322035,14,1,0.07142857142857142,14,141,9.878571428595064,0.450000000000957,2.9180555555557435,100.0,100.0,0.0,0.0,59,14,14,14,0,45,7.048095226287842
aware,12,59,13,0.22033898305084745,12,1,0.08333333333333333,13,129,8.19230769232491,0.43846153846198577,2.711111111111252,100.0,100.0,0.0,0.0,59,13,12,12,0,47,6.8622331619262695
aware,13,59,14,0.23728813559322035,12,1,0.08333333333333333,14,141,8.200000000020491,0.37142857142939484,2.9180555555557435,100.0,100.0,0.0,0.0,59,14,12,12,0,47,6.903432607650757
aware,14,59,15,0.2542372881355932,15,2,0.13333333333333333,15,152,9.360000000029656,0.3200000000010429,3.126388888889124,100.0,100.0,0.0,0.0,59,15,15,15,0,44,6.990525484085083
aware,15,59,12,0.2033898305084746,12,1,0.08333333333333333,12,120,9.200000000027861,0.37500000000125056,2.5006944444445374,100.0,100.0,0.0,0.0,59,14,12,12,0,47,7.098950147628784
aware,16,59,19,0.3220338983050847,17,1,0.058823529411764705,19,189,8.273684210538901,0.3631578947370683,3.962500000000425,100.0,100.0,0.0,0.0,59,19,17,17,0,42,6.2418084144592285
aware,17,59,10,0.1694915254237288,10,0,0.0,10,101,9.580000000020982,0.22000000000030012,2.0847222222222204,100.0,100.0,0.0,0.0,59,11,10,10,0,49,6.215402126312256
aware,18,59,12,0.2033898305084746,11,0,0.0,12,121,7.9666666666839205,0.2250000000006954,2.502083333333427,100.0,100.0,0.0,0.0,59,12,11,11,0,48,6.154466390609741
aware,19,59,17,0.288135593220339,16,2,0.125,17,172,8.823529411787902,0.19411764705947623,3.5430555555558856,100.0,100.0,0.0,0.0,59,17,16,16,0,43,6.162769317626953
