radar_range,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
8,detection,0,29,5,0.1724137931034483,4,0,0.0,5,50,10.880000000028867,0.18000000000065483,2.0833333333332744,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.698613166809082
8,detection,1,29,6,0.20689655172413793,6,0,0.0,6,62,10.33333333334493,0.3666666666664848,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.709916830062866
8,detection,2,29,5,0.1724137931034483,5,0,0.0,5,50,12.44000000001547,0.2800000000003138,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6163246631622314
8,detection,3,29,5,0.1724137931034483,5,0,0.0,5,50,13.300000000028376,0.32000000000061846,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.807150363922119
8,detection,4,29,2,0.06896551724137931,2,1,0.5,2,19,15.649999999994066,0.19999999999987494,0.8347222222222304,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.771010160446167
8,detection,5,29,5,0.1724137931034483,5,0,0.0,5,51,8.71999999999689,0.14000000000005458,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.779662609100342
8,detection,6,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,12.250000000013813,0.1500000000002236,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.821354627609253
8,detection,7,29,6,0.20689655172413793,6,0,0.0,6,60,10.466666666677014,0.3333333333336886,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.8777570724487305
8,detection,8,29,7,0.2413793103448276,7,1,0.14285714285714285,7,71,10.842857142876126,0.25714285714341906,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5406668186187744
8,detection,9,29,6,0.20689655172413793,7,1,0.14285714285714285,6,60,10.683333333333835,0.5166666666662678,2.5055555555554725,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.6204636096954346
8,detection,10,29,8,0.27586206896551724,8,1,0.125,8,80,12.87500000001171,0.5875000000017963,3.3402777777776476,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.578071117401123
8,detection,11,29,6,0.20689655172413793,6,0,0.0,6,62,9.00000000000893,0.26666666666725786,2.504166666666584,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.535961866378784
8,detection,12,29,6,0.20689655172413793,6,0,0.0,6,58,12.733333333334533,0.21666666666695278,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.580310583114624
8,detection,13,29,6,0.20689655172413793,6,0,0.0,6,64,8.683333333352317,0.2500000000002842,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.62606143951416
8,detection,14,29,7,0.2413793103448276,7,0,0.0,7,70,10.057142857162555,0.31428571428672775,2.920833333333227,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.6184704303741455
8,aware,0,29,5,0.1724137931034483,4,0,0.0,5,50,10.880000000028867,0.18000000000065483,2.0833333333332744,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.636079788208008
8,aware,1,29,6,0.20689655172413793,6,0,0.0,6,62,10.33333333334493,0.3666666666664848,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.6236941814422607
8,aware,2,29,5,0.1724137931034483,5,0,0.0,5,50,12.44000000001547,0.2800000000003138,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6669843196868896
8,aware,3,29,5,0.1724137931034483,5,0,0.0,5,50,13.300000000028376,0.32000000000061846,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6093788146972656
8,aware,4,29,2,0.06896551724137931,2,1,0.5,2,19,15.649999999994066,0.19999999999987494,0.8347222222222304,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.5860300064086914
8,aware,5,29,5,0.1724137931034483,5,0,0.0,5,51,8.71999999999689,0.14000000000005458,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.661627769470215
8,aware,6,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,12.250000000013813,0.1500000000002236,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.7031335830688477
8,aware,7,29,6,0.20689655172413793,6,0,0.0,6,60,10.466666666677014,0.3333333333336886,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.7859959602355957
8,aware,8,29,7,0.2413793103448276,7,1,0.14285714285714285,7,71,10.842857142876126,0.25714285714341906,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.748539447784424
8,aware,9,29,6,0.20689655172413793,7,1,0.14285714285714285,6,60,10.683333333333835,0.5166666666662678,2.5055555555554725,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.4453511238098145
8,aware,10,29,8,0.27586206896551724,8,1,0.125,8,80,12.87500000001171,0.5875000000017963,3.3402777777776476,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.3510525226593018
8,aware,11,29,6,0.20689655172413793,6,0,0.0,6,62,9.00000000000893,0.26666666666725786,2.504166666666584,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.3346662521362305
8,aware,12,29,6,0.20689655172413793,6,0,0.0,6,58,12.733333333334533,0.21666666666695278,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.2667176723480225
8,aware,13,29,6,0.20689655172413793,6,0,0.0,6,64,8.683333333352317,0.2500000000002842,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.334380626678467
8,aware,14,29,7,0.2413793103448276,7,0,0.0,7,70,10.057142857162555,0.31428571428672775,2.920833333333227,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.135603189468384
8,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1127398014068604
8,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2402420043945312
8,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.239760637283325
8,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.3857908248901367
8,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.285027265548706
8,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.319439172744751
8,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.2384419441223145
8,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.281332015991211
8,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.232221841812134
8,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.1018905639648438
8,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.171907424926758
8,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,1.9753079414367676
8,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.083899974822998
8,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0122976303100586
8,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.043565034866333
10,detection,0,29,4,0.13793103448275862,4,0,0.0,4,43,11.550000000007408,0.1499999999998849,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.437403678894043
10,detection,1,29,6,0.20689655172413793,5,1,0.2,6,62,10.066666666667365,0.34999999999990905,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.716282606124878
10,detection,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.5483319759368896
10,detection,3,29,4,0.13793103448275862,4,0,0.0,4,41,10.775000000019872,0.20000000000050022,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.764296054840088
10,detection,4,29,5,0.1724137931034483,5,2,0.4,5,49,8.780000000006543,0.2800000000002683,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.531891345977783
10,detection,5,29,5,0.1724137931034483,5,0,0.0,5,50,11.320000000018263,0.24000000000005456,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.6229095458984375
10,detection,6,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,9.814285714298146,0.35714285714326316,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6152939796447754
10,detection,7,29,5,0.1724137931034483,5,1,0.2,5,51,8.240000000018023,0.3600000000006105,2.0847222222221635,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.4782156944274902
10,detection,8,29,7,0.2413793103448276,7,0,0.0,7,71,7.32857142858016,0.18571428571427923,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.59096360206604
10,detection,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.399999999995735,0.1249999999999929,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6870453357696533
10,detection,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6425559520721436
10,detection,11,29,8,0.27586206896551724,8,0,0.0,8,81,9.31250000001235,0.35000000000008313,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.6026992797851562
10,detection,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.8134782314300537
10,detection,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.567143440246582
10,detection,14,29,5,0.1724137931034483,5,2,0.4,5,50,9.440000000021154,0.2000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.7516028881073
10,aware,0,29,4,0.13793103448275862,4,0,0.0,4,43,11.550000000007408,0.1499999999998849,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.7802512645721436
10,aware,1,29,6,0.20689655172413793,5,1,0.2,6,62,10.066666666667365,0.34999999999990905,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.622312545776367
10,aware,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.7241172790527344
10,aware,3,29,4,0.13793103448275862,4,0,0.0,4,41,10.775000000019872,0.20000000000050022,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.57214617729187
10,aware,4,29,5,0.1724137931034483,5,2,0.4,5,49,8.780000000006543,0.2800000000002683,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.619286060333252
10,aware,5,29,5,0.1724137931034483,5,0,0.0,5,50,11.320000000018263,0.24000000000005456,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.625234365463257
10,aware,6,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,9.814285714298146,0.35714285714326316,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.90287709236145
10,aware,7,29,5,0.1724137931034483,5,1,0.2,5,51,8.240000000018023,0.3600000000006105,2.0847222222221635,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.7359042167663574
10,aware,8,29,7,0.2413793103448276,7,0,0.0,7,71,7.32857142858016,0.18571428571427923,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.7793056964874268
10,aware,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.399999999995735,0.1249999999999929,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.4223906993865967
10,aware,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.356667995452881
10,aware,11,29,8,0.27586206896551724,8,0,0.0,8,81,9.31250000001235,0.35000000000008313,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.3490724563598633
10,aware,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.414823532104492
10,aware,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.4188997745513916
10,aware,14,29,5,0.1724137931034483,5,2,0.4,5,50,9.440000000021154,0.2000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.2706332206726074
10,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1127398014068604
10,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2402420043945312
10,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.239760637283325
10,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.3857908248901367
10,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.285027265548706
10,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.319439172744751
10,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.2384419441223145
10,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.281332015991211
10,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.232221841812134
10,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.1018905639648438
10,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.171907424926758
10,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,1.9753079414367676
10,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.083899974822998
10,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0122976303100586
10,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.043565034866333
12,detection,0,29,10,0.3448275862068966,4,0,0.0,10,100,1.969999999999743,0.2600000000002751,4.168055555555552,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.854084014892578
12,detection,1,29,8,0.27586206896551724,4,0,0.0,8,80,4.6250000000103455,0.46250000000060254,3.3388888888887585,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.802969217300415
12,detection,2,29,7,0.2413793103448276,6,1,0.16666666666666666,7,72,7.785714285732183,0.35714285714368543,2.9180555555554495,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.7153215408325195
12,detection,3,29,2,0.06896551724137931,1,0,0.0,2,21,0.0,0.0,0.8361111111111192,100.0,100.0,0.0,0.0,29,2,1,1,0,28,3.6840031147003174
12,detection,4,29,8,0.27586206896551724,6,0,0.0,8,82,5.61250000000652,0.21250000000021885,3.33749999999987,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.8905014991760254
12,detection,5,29,7,0.2413793103448276,2,0,0.0,7,70,2.5857142857231565,0.40000000000091923,2.919444444444338,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.869431495666504
12,detection,6,29,13,0.4482758620689655,12,1,0.08333333333333333,13,130,6.023076923085437,0.5461538461545825,5.420833333333614,100.0,100.0,0.0,0.0,29,12,12,12,0,17,3.773963689804077
12,detection,7,29,13,0.4482758620689655,9,0,0.0,13,130,4.623076923078622,0.19230769230764203,5.426388888889172,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.8866207599639893
12,detection,8,29,8,0.27586206896551724,7,0,0.0,8,81,5.587500000007637,0.20000000000037232,3.3388888888887585,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.9584872722625732
12,detection,9,29,11,0.3793103448275862,8,0,0.0,11,112,4.600000000003082,0.29999999999998295,4.59166666666676,100.0,100.0,0.0,0.0,29,9,8,8,0,21,4.1211113929748535
12,detection,10,29,6,0.20689655172413793,3,0,0.0,6,60,4.11666666666891,0.3333333333333333,2.5055555555554725,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.9375462532043457
12,detection,11,29,7,0.2413793103448276,7,1,0.14285714285714285,7,73,4.885714285726952,0.2142857142861934,2.919444444444338,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.907489776611328
12,detection,12,29,10,0.3448275862068966,8,0,0.0,10,99,5.1599999999999,0.13000000000017167,4.173611111111109,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.9819562435150146
12,detection,13,29,5,0.1724137931034483,4,0,0.0,5,51,5.380000000010949,0.1000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,4,4,0,25,4.032536029815674
12,detection,14,29,9,0.3103448275862069,5,1,0.2,9,90,2.91111111112155,0.17777777777827294,3.754166666666569,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.8822059631347656
12,aware,0,29,10,0.3448275862068966,4,0,0.0,10,100,1.969999999999743,0.2600000000002751,4.168055555555552,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.9887444972991943
12,aware,1,29,8,0.27586206896551724,4,0,0.0,8,80,4.6250000000103455,0.46250000000060254,3.3388888888887585,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.850762367248535
12,aware,2,29,7,0.2413793103448276,6,1,0.16666666666666666,7,72,7.785714285732183,0.35714285714368543,2.9180555555554495,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.033747673034668
12,aware,3,29,2,0.06896551724137931,1,0,0.0,2,21,0.0,0.0,0.8361111111111192,100.0,100.0,0.0,0.0,29,2,1,1,0,28,3.775062084197998
