size_scale,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.25,detection,0,29,3,0.10344827586206896,2,0,0.0,3,31,9.166666666676937,0.4333333333335266,1.2499999999999885,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.4195034503936768
0.25,detection,1,29,4,0.13793103448275862,3,0,0.0,4,41,8.025000000000091,0.42500000000052296,1.6708333333332976,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.463747978210449
0.25,detection,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.800000000016269,0.6250000000017621,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.489030599594116
0.25,detection,3,29,2,0.06896551724137931,2,0,0.0,2,20,8.350000000009686,0.1999999999998181,0.8347222222222304,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.542675256729126
0.25,detection,4,29,10,0.3448275862068966,10,1,0.1,10,100,8.220000000017876,0.43000000000067756,4.169444444444441,100.0,100.0,0.0,0.0,29,10,10,10,0,19,3.5489084720611572
0.25,detection,5,29,5,0.1724137931034483,5,0,0.0,5,51,10.62000000000744,0.9000000000007276,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.5250320434570312
0.25,detection,6,29,2,0.06896551724137931,2,1,0.5,2,20,11.65000000001936,1.3500000000008185,0.8333333333333414,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.5597262382507324
0.25,detection,7,29,10,0.3448275862068966,10,0,0.0,10,103,9.670000000009429,0.750000000000432,4.173611111111109,100.0,100.0,0.0,0.0,29,10,10,10,0,19,3.668349266052246
0.25,detection,8,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,8.60000000000529,0.8000000000000682,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.8128502368927
0.25,detection,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.300000000001738,0.14999999999997016,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.922910451889038
0.25,detection,10,29,5,0.1724137931034483,5,0,0.0,5,51,10.000000000010004,0.6000000000004547,2.087499999999941,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.935175657272339
0.25,detection,11,29,7,0.2413793103448276,7,0,0.0,7,71,8.77142857143906,0.5571428571435239,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.8815858364105225
0.25,detection,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.778533458709717
0.25,detection,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.850987434387207
0.25,detection,14,29,5,0.1724137931034483,5,1,0.2,5,50,9.559999999998036,0.3399999999998727,2.08888888888883,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.846968650817871
0.25,aware,0,29,3,0.10344827586206896,2,0,0.0,3,31,9.166666666676937,0.4333333333335266,1.2499999999999885,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.9284110069274902
0.25,aware,1,29,4,0.13793103448275862,3,0,0.0,4,41,8.025000000000091,0.42500000000052296,1.6708333333332976,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.819822311401367
0.25,aware,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.800000000016269,0.6250000000017621,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.8362717628479004
0.25,aware,3,29,2,0.06896551724137931,2,0,0.0,2,20,8.350000000009686,0.1999999999998181,0.8347222222222304,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.7676453590393066
0.25,aware,4,29,10,0.3448275862068966,10,1,0.1,10,100,8.220000000017876,0.43000000000067756,4.169444444444441,100.0,100.0,0.0,0.0,29,10,10,10,0,19,3.8148410320281982
0.25,aware,5,29,5,0.1724137931034483,5,0,0.0,5,51,10.62000000000744,0.9000000000007276,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.73828125
0.25,aware,6,29,2,0.06896551724137931,2,1,0.5,2,20,11.65000000001936,1.3500000000008185,0.8333333333333414,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.862023115158081
0.25,aware,7,29,10,0.3448275862068966,10,0,0.0,10,103,9.670000000009429,0.750000000000432,4.173611111111109,100.0,100.0,0.0,0.0,29,10,10,10,0,19,3.936723232269287
0.25,aware,8,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,8.60000000000529,0.8000000000000682,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.8476903438568115
0.25,aware,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.300000000001738,0.14999999999997016,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.405374526977539
0.25,aware,10,29,5,0.1724137931034483,5,0,0.0,5,51,10.000000000010004,0.6000000000004547,2.087499999999941,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.447056531906128
0.25,aware,11,29,7,0.2413793103448276,7,0,0.0,7,71,8.77142857143906,0.5571428571435239,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.393853187561035
0.25,aware,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.4072279930114746
0.25,aware,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.4159669876098633
0.25,aware,14,29,5,0.1724137931034483,5,1,0.2,5,50,9.559999999998036,0.3399999999998727,2.08888888888883,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.341247797012329
0.25,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.281137704849243
0.25,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.242569923400879
0.25,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1833322048187256
0.25,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.26526141166687
0.25,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.3254005908966064
0.25,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.251096725463867
0.25,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.3560547828674316
0.25,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.215900182723999
0.25,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.089118003845215
0.25,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.228367805480957
0.25,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.2035653591156006
0.25,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.158109426498413
0.25,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.0747053623199463
0.25,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.124724864959717
0.25,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.123995780944824
0.5,detection,0,29,3,0.10344827586206896,2,0,0.0,3,31,9.166666666676937,0.4333333333335266,1.2499999999999885,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.4483158588409424
0.5,detection,1,29,6,0.20689655172413793,5,0,0.0,6,62,8.016666666676429,0.18333333333331817,2.504166666666584,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.499140739440918
0.5,detection,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.5830399990081787
0.5,detection,3,29,9,0.3103448275862069,9,0,0.0,9,91,10.25555555558008,0.1444444444447173,3.754166666666569,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.717280626296997
0.5,detection,4,29,5,0.1724137931034483,5,0,0.0,5,51,9.040000000003648,0.20000000000004547,2.087499999999941,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.558936595916748
0.5,detection,5,29,7,0.2413793103448276,7,0,0.0,7,69,8.785714285723966,0.5,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.52956485748291
0.5,detection,6,29,4,0.13793103448275862,4,0,0.0,4,40,9.400000000001683,0.9000000000000057,1.669444444444409,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.6276278495788574
0.5,detection,7,29,9,0.3103448275862069,9,2,0.2222222222222222,9,91,10.54444444444976,0.5222222222222146,3.755555555555458,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.7891526222229004
0.5,detection,8,29,5,0.1724137931034483,5,0,0.0,5,52,8.420000000001892,0.879999999999427,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.554866313934326
0.5,detection,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.399999999995735,0.1249999999999929,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.607455015182495
0.5,detection,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.741072654724121
0.5,detection,11,29,7,0.2413793103448276,7,0,0.0,7,71,8.77142857143906,0.5571428571435239,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.617652416229248
0.5,detection,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.6209046840667725
0.5,detection,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.5453615188598633
0.5,detection,14,29,6,0.20689655172413793,6,1,0.16666666666666666,6,59,9.583333333335077,0.2833333333335304,2.5055555555554725,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.614593267440796
0.5,aware,0,29,3,0.10344827586206896,2,0,0.0,3,31,9.166666666676937,0.4333333333335266,1.2499999999999885,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.9965314865112305
0.5,aware,1,29,6,0.20689655172413793,5,0,0.0,6,62,8.016666666676429,0.18333333333331817,2.504166666666584,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.7315733432769775
0.5,aware,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.700436592102051
0.5,aware,3,29,9,0.3103448275862069,9,0,0.0,9,91,10.25555555558008,0.1444444444447173,3.754166666666569,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.7155392169952393
0.5,aware,4,29,5,0.1724137931034483,5,0,0.0,5,51,9.040000000003648,0.20000000000004547,2.087499999999941,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.7064387798309326
0.5,aware,5,29,7,0.2413793103448276,7,0,0.0,7,69,8.785714285723966,0.5,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5897915363311768
0.5,aware,6,29,4,0.13793103448275862,4,0,0.0,4,40,9.400000000001683,0.9000000000000057,1.669444444444409,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.7283270359039307
0.5,aware,7,29,9,0.3103448275862069,9,2,0.2222222222222222,9,91,10.54444444444976,0.5222222222222146,3.755555555555458,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.7666521072387695
0.5,aware,8,29,5,0.1724137931034483,5,0,0.0,5,52,8.420000000001892,0.879999999999427,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,4.015136241912842
0.5,aware,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.399999999995735,0.1249999999999929,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.4780023097991943
0.5,aware,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.3913674354553223
0.5,aware,11,29,7,0.2413793103448276,7,0,0.0,7,71,8.77142857143906,0.5571428571435239,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.3746559619903564
0.5,aware,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.461390256881714
0.5,aware,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.452410936355591
0.5,aware,14,29,6,0.20689655172413793,6,1,0.16666666666666666,6,59,9.583333333335077,0.2833333333335304,2.5055555555554725,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.407137632369995
0.5,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.281137704849243
0.5,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.242569923400879
0.5,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1833322048187256
0.5,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.26526141166687
0.5,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.3254005908966064
0.5,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.251096725463867
0.5,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.3560547828674316
0.5,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.215900182723999
0.5,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.089118003845215
0.5,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.228367805480957
0.5,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.2035653591156006
0.5,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.158109426498413
0.5,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.0747053623199463
0.5,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.124724864959717
0.5,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.123995780944824
0.75,detection,0,29,7,0.2413793103448276,6,1,0.16666666666666666,7,72,9.50000000001421,0.34285714285747254,2.919444444444338,100.0,100.0,0.0,0.0,29,8,6,6,0,23,3.4919755458831787
0.75,detection,1,29,8,0.27586206896551724,7,0,0.0,8,81,9.487500000013313,0.4125000000004775,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.661364793777466
0.75,detection,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.745814323425293
0.75,detection,3,29,4,0.13793103448275862,4,0,0.0,4,41,10.775000000019872,0.20000000000050022,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6644647121429443
0.75,detection,4,29,5,0.1724137931034483,5,0,0.0,5,51,9.040000000003648,0.20000000000004547,2.087499999999941,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.5760319232940674
0.75,detection,5,29,5,0.1724137931034483,5,2,0.4,5,50,9.539999999998235,0.519999999999618,2.08888888888883,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.827375650405884
0.75,detection,6,29,7,0.2413793103448276,7,2,0.2857142857142857,7,69,9.842857142869677,0.38571428571479566,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.689669132232666
0.75,detection,7,29,5,0.1724137931034483,5,1,0.2,5,51,8.240000000018023,0.3600000000006105,2.0847222222221635,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6785242557525635
0.75,detection,8,29,7,0.2413793103448276,7,0,0.0,7,71,7.32857142858016,0.18571428571427923,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.732196092605591
0.75,detection,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.399999999995735,0.1249999999999929,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.7122833728790283
0.75,detection,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.791692018508911
0.75,detection,11,29,8,0.27586206896551724,8,0,0.0,8,81,9.31250000001235,0.35000000000008313,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.6823339462280273
