vehicles_per_dir,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1,detection,0,29,16,0.5517241379310345,14,0,0.0,16,39,8.956250000010733,0.23750000000060112,6.676388888889456,100.0,100.0,0.0,0.0,29,22,14,14,0,15,1.545203447341919
1,detection,1,29,16,0.5517241379310345,10,0,0.0,16,38,8.81875000000764,0.12500000000002132,6.677777777778345,100.0,100.0,0.0,0.0,29,18,10,10,0,19,1.5571868419647217
1,detection,2,29,18,0.6206896551724138,16,0,0.0,18,46,8.050000000007294,0.32222222222235075,7.512500000000756,100.0,100.0,0.0,0.0,29,18,16,16,0,13,1.5668869018554688
1,detection,3,29,16,0.5517241379310345,14,0,0.0,16,37,9.400000000015432,0.2875000000006125,6.676388888889456,100.0,100.0,0.0,0.0,29,20,14,14,0,15,1.665494441986084
1,detection,4,29,22,0.7586206896551724,19,0,0.0,22,55,7.750000000008625,0.29545454545486066,9.176388888890022,100.0,100.0,0.0,0.0,29,22,20,19,0,10,1.576664686203003
1,detection,5,29,11,0.3793103448275862,10,0,0.0,11,27,8.318181818190947,0.34545454545484106,4.588888888888981,100.0,100.0,0.0,0.0,29,14,10,10,0,19,1.5283071994781494
1,detection,6,29,16,0.5517241379310345,15,1,0.06666666666666667,16,40,9.031250000007383,0.26250000000013785,6.679166666667234,100.0,100.0,0.0,0.0,29,19,16,15,0,14,1.5338644981384277
1,detection,7,29,14,0.4827586206896552,13,0,0.0,14,35,9.757142857154651,0.26428571428599973,5.841666666667043,100.0,100.0,0.0,0.0,29,15,13,13,0,16,1.6045067310333252
1,detection,8,29,15,0.5172413793103449,13,0,0.0,15,36,8.866666666670797,0.2733333333337858,6.262500000000473,100.0,100.0,0.0,0.0,29,17,13,13,0,16,1.5938639640808105
1,detection,9,29,16,0.5517241379310345,14,0,0.0,16,41,9.062500000014335,0.15624999999997335,6.675000000000566,100.0,100.0,0.0,0.0,29,17,14,14,0,15,1.6064610481262207
1,detection,10,29,18,0.6206896551724138,14,0,0.0,18,46,8.016666666675375,0.36666666666668374,7.509722222222978,100.0,100.0,0.0,0.0,29,19,15,14,0,15,1.6808433532714844
1,detection,11,29,11,0.3793103448275862,11,0,0.0,11,30,8.41818181819569,0.23636363636440325,4.587500000000092,100.0,100.0,0.0,0.0,29,13,11,11,0,18,1.6221659183502197
1,detection,12,29,19,0.6551724137931034,16,0,0.0,19,48,8.836842105276846,0.27368421052673103,7.926388888889739,100.0,100.0,0.0,0.0,29,20,16,16,0,13,1.6622180938720703
1,detection,13,29,18,0.6206896551724138,16,0,0.0,18,46,8.900000000002926,0.3166666666666597,7.512500000000756,100.0,100.0,0.0,0.0,29,19,16,16,0,13,1.5913357734680176
1,detection,14,29,9,0.3103448275862069,5,0,0.0,9,21,8.977777777792564,0.1444444444447173,3.7527777777776796,100.0,100.0,0.0,0.0,29,14,5,5,0,24,1.6095969676971436
1,aware,0,29,16,0.5517241379310345,14,0,0.0,16,39,8.956250000010733,0.23750000000060112,6.676388888889456,100.0,100.0,0.0,0.0,29,22,14,14,0,15,1.6559548377990723
1,aware,1,29,16,0.5517241379310345,10,0,0.0,16,38,8.81875000000764,0.12500000000002132,6.677777777778345,100.0,100.0,0.0,0.0,29,18,10,10,0,19,1.6686887741088867
1,aware,2,29,18,0.6206896551724138,16,0,0.0,18,46,8.050000000007294,0.32222222222235075,7.512500000000756,100.0,100.0,0.0,0.0,29,18,16,16,0,13,1.635176181793213
1,aware,3,29,16,0.5517241379310345,14,0,0.0,16,37,9.400000000015432,0.2875000000006125,6.676388888889456,100.0,100.0,0.0,0.0,29,20,14,14,0,15,1.6541223526000977
1,aware,4,29,22,0.7586206896551724,19,0,0.0,22,55,7.750000000008625,0.29545454545486066,9.176388888890022,100.0,100.0,0.0,0.0,29,22,20,19,0,10,1.826002597808838
1,aware,5,29,11,0.3793103448275862,10,0,0.0,11,27,8.318181818190947,0.34545454545484106,4.588888888888981,100.0,100.0,0.0,0.0,29,14,10,10,0,19,1.6561570167541504
1,aware,6,29,16,0.5517241379310345,15,1,0.06666666666666667,16,40,9.031250000007383,0.26250000000013785,6.679166666667234,100.0,100.0,0.0,0.0,29,19,16,15,0,14,1.61517333984375
1,aware,7,29,14,0.4827586206896552,13,0,0.0,14,35,9.757142857154651,0.26428571428599973,5.841666666667043,100.0,100.0,0.0,0.0,29,15,13,13,0,16,1.6098568439483643
1,aware,8,29,15,0.5172413793103449,13,0,0.0,15,36,8.866666666670797,0.2733333333337858,6.262500000000473,100.0,100.0,0.0,0.0,29,17,13,13,0,16,1.6860218048095703
1,aware,9,29,16,0.5517241379310345,14,0,0.0,16,41,9.062500000014335,0.15624999999997335,6.675000000000566,100.0,100.0,0.0,0.0,29,17,14,14,0,15,1.5807712078094482
1,aware,10,29,18,0.6206896551724138,14,0,0.0,18,46,8.016666666675375,0.36666666666668374,7.509722222222978,100.0,100.0,0.0,0.0,29,19,15,14,0,15,1.549344778060913
1,aware,11,29,11,0.3793103448275862,11,0,0.0,11,30,8.41818181819569,0.23636363636440325,4.587500000000092,100.0,100.0,0.0,0.0,29,13,11,11,0,18,1.458223819732666
1,aware,12,29,19,0.6551724137931034,16,0,0.0,19,48,8.836842105276846,0.27368421052673103,7.926388888889739,100.0,100.0,0.0,0.0,29,20,16,16,0,13,1.4686651229858398
1,aware,13,29,18,0.6206896551724138,16,0,0.0,18,46,8.900000000002926,0.3166666666666597,7.512500000000756,100.0,100.0,0.0,0.0,29,19,16,16,0,13,1.4408974647521973
1,aware,14,29,9,0.3103448275862069,5,0,0.0,9,21,8.977777777792564,0.1444444444447173,3.7527777777776796,100.0,100.0,0.0,0.0,29,14,5,5,0,24,1.4835467338562012
1,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1628105640411377
1,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2382452487945557
1,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1882247924804688
1,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1832211017608643
1,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.185708999633789
1,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.223066806793213
1,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.350759744644165
1,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.1764371395111084
1,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2196099758148193
1,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.150815010070801
1,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1766304969787598
1,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1910619735717773
1,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.152891159057617
1,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.163782835006714
1,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.131218671798706
2,detection,0,29,13,0.4482758620689655,12,0,0.0,13,64,8.223076923091368,0.2769230769234285,5.422222222222504,100.0,100.0,0.0,0.0,29,17,12,12,0,17,2.2979767322540283
2,detection,1,29,9,0.3103448275862069,6,0,0.0,9,45,6.733333333354342,0.24444444444506847,3.7499999999999014,100.0,100.0,0.0,0.0,29,10,7,6,0,23,2.2820334434509277
2,detection,2,29,9,0.3103448275862069,6,0,0.0,9,44,9.14444444444276,0.3888888888886615,3.7583333333332365,100.0,100.0,0.0,0.0,29,11,6,6,0,23,2.1865592002868652
2,detection,3,29,9,0.3103448275862069,8,2,0.25,9,46,9.522222222232926,0.28888888888894193,3.755555555555458,100.0,100.0,0.0,0.0,29,11,8,8,0,21,2.4081943035125732
2,detection,4,29,8,0.27586206896551724,6,0,0.0,8,39,8.93750000000739,0.2875000000010459,3.3388888888887585,100.0,100.0,0.0,0.0,29,12,6,6,0,23,2.2455079555511475
2,detection,5,29,9,0.3103448275862069,8,0,0.0,9,44,9.411111111126452,0.5222222222231494,3.754166666666569,100.0,100.0,0.0,0.0,29,12,8,8,0,21,2.2708170413970947
2,detection,6,29,12,0.41379310344827586,11,0,0.0,12,58,9.141666666680303,0.3416666666671138,5.005555555555743,100.0,100.0,0.0,0.0,29,15,11,11,0,18,2.347785711288452
2,detection,7,29,5,0.1724137931034483,5,0,0.0,5,24,7.839999999999895,0.26000000000003637,2.086111111111052,100.0,100.0,0.0,0.0,29,8,5,5,0,24,2.2378742694854736
2,detection,8,29,8,0.27586206896551724,6,0,0.0,8,41,8.500000000011823,0.3250000000003723,3.336111111110981,100.0,100.0,0.0,0.0,29,9,6,6,0,23,2.325778007507324
2,detection,9,29,5,0.1724137931034483,3,0,0.0,5,25,8.480000000006566,0.21999999999998182,2.086111111111052,100.0,100.0,0.0,0.0,29,6,3,3,0,26,2.434345245361328
2,detection,10,29,5,0.1724137931034483,4,0,0.0,5,24,7.200000000000069,0.2600000000005366,2.086111111111052,100.0,100.0,0.0,0.0,29,8,5,4,0,25,2.2998392581939697
2,detection,11,29,8,0.27586206896551724,6,0,0.0,8,39,8.925000000017008,0.21250000000048885,3.33749999999987,100.0,100.0,0.0,0.0,29,10,6,6,0,23,2.4410042762756348
2,detection,12,29,10,0.3448275862068966,7,0,0.0,10,51,7.510000000002265,0.3099999999997635,4.177777777777776,100.0,100.0,0.0,0.0,29,11,7,7,0,22,2.3806231021881104
2,detection,13,29,8,0.27586206896551724,6,0,0.0,8,40,8.975000000007995,0.5125000000009123,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,7,6,0,23,2.3319077491760254
2,detection,14,29,10,0.3448275862068966,6,0,0.0,10,48,8.310000000005596,0.2000000000002217,4.173611111111109,100.0,100.0,0.0,0.0,29,12,7,6,0,23,2.33479905128479
2,aware,0,29,13,0.4482758620689655,12,0,0.0,13,64,8.223076923091368,0.2769230769234285,5.422222222222504,100.0,100.0,0.0,0.0,29,17,12,12,0,17,2.417895555496216
2,aware,1,29,9,0.3103448275862069,6,0,0.0,9,45,6.733333333354342,0.24444444444506847,3.7499999999999014,100.0,100.0,0.0,0.0,29,10,7,6,0,23,2.372802495956421
2,aware,2,29,9,0.3103448275862069,6,0,0.0,9,44,9.14444444444276,0.3888888888886615,3.7583333333332365,100.0,100.0,0.0,0.0,29,11,6,6,0,23,2.4495315551757812
2,aware,3,29,9,0.3103448275862069,8,2,0.25,9,46,9.522222222232926,0.28888888888894193,3.755555555555458,100.0,100.0,0.0,0.0,29,11,8,8,0,21,2.387178659439087
2,aware,4,29,8,0.27586206896551724,6,0,0.0,8,39,8.93750000000739,0.2875000000010459,3.3388888888887585,100.0,100.0,0.0,0.0,29,12,6,6,0,23,2.3925302028656006
2,aware,5,29,9,0.3103448275862069,8,0,0.0,9,44,9.411111111126452,0.5222222222231494,3.754166666666569,100.0,100.0,0.0,0.0,29,12,8,8,0,21,2.3132262229919434
2,aware,6,29,12,0.41379310344827586,11,0,0.0,12,58,9.141666666680303,0.3416666666671138,5.005555555555743,100.0,100.0,0.0,0.0,29,15,11,11,0,18,2.377953052520752
2,aware,7,29,5,0.1724137931034483,5,0,0.0,5,24,7.839999999999895,0.26000000000003637,2.086111111111052,100.0,100.0,0.0,0.0,29,8,5,5,0,24,2.3587260246276855
2,aware,8,29,8,0.27586206896551724,6,0,0.0,8,41,8.500000000011823,0.3250000000003723,3.336111111110981,100.0,100.0,0.0,0.0,29,9,6,6,0,23,2.315805673599243
2,aware,9,29,5,0.1724137931034483,3,0,0.0,5,25,8.480000000006566,0.21999999999998182,2.086111111111052,100.0,100.0,0.0,0.0,29,6,3,3,0,26,2.131013870239258
2,aware,10,29,5,0.1724137931034483,4,0,0.0,5,24,7.200000000000069,0.2600000000005366,2.086111111111052,100.0,100.0,0.0,0.0,29,8,5,4,0,25,2.076406240463257
2,aware,11,29,8,0.27586206896551724,6,0,0.0,8,39,8.925000000017008,0.21250000000048885,3.33749999999987,100.0,100.0,0.0,0.0,29,10,6,6,0,23,2.1285738945007324
2,aware,12,29,10,0.3448275862068966,7,0,0.0,10,51,7.510000000002265,0.3099999999997635,4.177777777777776,100.0,100.0,0.0,0.0,29,11,7,7,0,22,2.0219686031341553
2,aware,13,29,8,0.27586206896551724,6,0,0.0,8,40,8.975000000007995,0.5125000000009123,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,7,6,0,23,2.0091161727905273
2,aware,14,29,10,0.3448275862068966,6,0,0.0,10,48,8.310000000005596,0.2000000000002217,4.173611111111109,100.0,100.0,0.0,0.0,29,12,7,6,0,23,2.1177151203155518
2,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1628105640411377
2,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2382452487945557
2,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1882247924804688
2,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1832211017608643
2,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.185708999633789
2,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.223066806793213
2,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.350759744644165
2,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.1764371395111084
2,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2196099758148193
2,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.150815010070801
2,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1766304969787598
2,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1910619735717773
2,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.152891159057617
2,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.163782835006714
2,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.131218671798706
4,detection,0,29,4,0.13793103448275862,4,0,0.0,4,43,11.550000000007408,0.1499999999998849,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6310195922851562
4,detection,1,29,6,0.20689655172413793,5,1,0.2,6,62,10.066666666667365,0.34999999999990905,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.4697353839874268
4,detection,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6006171703338623
4,detection,3,29,4,0.13793103448275862,4,0,0.0,4,41,10.775000000019872,0.20000000000050022,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.678004026412964
4,detection,4,29,5,0.1724137931034483,5,2,0.4,5,49,8.780000000006543,0.2800000000002683,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.669931650161743
4,detection,5,29,5,0.1724137931034483,5,0,0.0,5,50,11.320000000018263,0.24000000000005456,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.762165069580078
4,detection,6,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,9.814285714298146,0.35714285714326316,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6770272254943848
4,detection,7,29,5,0.1724137931034483,5,1,0.2,5,51,8.240000000018023,0.3600000000006105,2.0847222222221635,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.7322845458984375
4,detection,8,29,7,0.2413793103448276,7,0,0.0,7,71,7.32857142858016,0.18571428571427923,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.621300220489502
4,detection,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.399999999995735,0.1249999999999929,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.5931243896484375
4,detection,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6424448490142822
4,detection,11,29,8,0.27586206896551724,8,0,0.0,8,81,9.31250000001235,0.35000000000008313,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.787274122238159
4,detection,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.631805896759033
4,detection,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.4992282390594482
4,detection,14,29,5,0.1724137931034483,5,2,0.4,5,50,9.440000000021154,0.2000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.6389377117156982
4,aware,0,29,4,0.13793103448275862,4,0,0.0,4,43,11.550000000007408,0.1499999999998849,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.8557162284851074
4,aware,1,29,6,0.20689655172413793,5,1,0.2,6,62,10.066666666667365,0.34999999999990905,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.688692569732666
4,aware,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.750576972961426
