radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
5,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.5208680629730225
5,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.54396390914917
5,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.465782642364502
5,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.553694486618042
5,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.4887311458587646
5,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.4744298458099365
5,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5318057537078857
5,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.489109754562378
5,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.4937529563903809
5,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5226995944976807
5,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5166082382202148
5,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5137791633605957
5,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.503598928451538
5,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.4958863258361816
5,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5062334537506104
5,detection,0,29,29,1.0,25,1,0.04,29,293,0.1413793103449695,0.1413793103449695,12.100000000001799,0.0,29,29,29,25,0,4,4.201887607574463
5,detection,1,29,29,1.0,24,1,0.041666666666666664,29,291,0.13448275862086137,0.13448275862086137,12.100000000001799,0.0,29,29,28,24,0,5,4.203895092010498
5,detection,2,29,29,1.0,17,0,0.0,29,290,0.10689655172434159,0.10689655172434159,12.100000000001799,2.9000000000000012,29,29,27,17,2,12,4.121801137924194
5,detection,3,29,29,1.0,21,1,0.047619047619047616,29,291,0.0862068965518878,0.0862068965518878,12.100000000001799,3.3000000000000016,29,29,27,21,1,8,4.252591371536255
5,detection,4,29,29,1.0,20,1,0.05,29,291,0.10689655172426024,0.10689655172426024,12.100000000001799,0.0,29,29,29,20,0,9,4.185419321060181
5,detection,5,29,29,1.0,18,0,0.0,29,290,0.11034482758637214,0.11034482758637214,12.100000000001799,0.0,29,29,28,18,0,11,4.248801231384277
5,detection,6,29,29,1.0,22,2,0.09090909090909091,29,289,0.0965517241380265,0.0965517241380265,12.100000000001799,0.0,29,29,28,22,0,7,4.162387847900391
5,detection,7,29,29,1.0,20,0,0.0,29,290,0.12413793103464427,0.12413793103464427,12.100000000001799,0.0,29,29,28,20,0,9,4.156419038772583
5,detection,8,29,29,1.0,25,3,0.12,29,293,0.11379310344851735,0.11379310344851735,12.100000000001799,0.0,29,29,29,25,0,4,4.176696538925171
5,detection,9,29,29,1.0,19,0,0.0,29,289,0.15517241379323182,0.15517241379323182,12.100000000001799,0.0,29,29,27,19,0,10,4.147644519805908
5,detection,10,29,29,1.0,20,2,0.1,29,289,0.19310344827591774,0.19310344827591774,12.100000000001799,0.0,29,29,28,20,0,9,4.161121845245361
5,detection,11,29,29,1.0,20,0,0.0,29,288,0.12758620689657582,0.12758620689657582,12.100000000001799,0.0,29,29,26,20,0,9,4.115389585494995
5,detection,12,29,29,1.0,24,1,0.041666666666666664,29,290,0.21724137931062357,0.21724137931062357,12.100000000001799,0.0,29,29,27,24,0,5,4.196366548538208
5,detection,13,29,29,1.0,23,0,0.0,29,289,0.16896551724155787,0.16896551724155787,12.100000000001799,0.0,29,29,28,23,0,6,4.178525447845459
5,detection,14,29,29,1.0,18,1,0.05555555555555555,29,290,0.13793103448280566,0.13793103448280566,12.100000000001799,2.2000000000000006,29,29,27,18,1,11,4.149367332458496
5,aware,0,29,29,1.0,22,1,0.045454545454545456,29,293,0.1275862068966268,0.1275862068966268,12.100000000001799,0.0,29,29,28,22,0,7,4.205836057662964
5,aware,1,29,29,1.0,21,2,0.09523809523809523,29,292,0.13793103448286054,0.13793103448286054,12.100000000001799,0.0,29,29,29,21,0,8,4.222888469696045
5,aware,2,29,29,1.0,22,4,0.18181818181818182,29,292,0.16896551724151182,0.16896551724151182,12.100000000001799,2.2000000000000006,29,29,28,22,1,7,4.242090463638306
5,aware,3,29,29,1.0,25,0,0.0,29,294,0.13448275862086528,0.13448275862086528,12.100000000001799,0.0,29,29,27,25,0,4,4.174177169799805
5,aware,4,29,29,1.0,17,4,0.23529411764705882,29,293,0.06896551724136167,0.06896551724136167,12.100000000001799,0.0,29,29,28,17,0,12,4.32009744644165
5,aware,5,29,29,1.0,16,1,0.0625,29,288,0.18275862068978982,0.18275862068978982,12.100000000001799,0.0,29,29,27,16,0,13,4.275609016418457
5,aware,6,29,29,1.0,15,0,0.0,29,294,0.14137931034488913,0.14137931034488913,12.100000000001799,0.0,29,29,23,15,0,14,4.287783861160278
5,aware,7,29,29,1.0,20,1,0.05,29,296,0.1413793103448911,0.1413793103448911,12.100000000001799,0.0,29,29,27,20,0,9,4.250248670578003
5,aware,8,29,29,1.0,19,0,0.0,29,291,0.10344827586216697,0.10344827586216697,12.100000000001799,0.0,29,29,27,19,0,10,4.128598690032959
5,aware,9,29,29,1.0,18,2,0.1111111111111111,29,290,0.15517241379326713,0.15517241379326713,12.100000000001799,0.0,29,29,28,18,0,11,4.192237615585327
5,aware,10,29,29,1.0,22,1,0.045454545454545456,29,291,0.1758620689657944,0.1758620689657944,12.100000000001799,0.0,29,29,28,22,0,7,4.16234564781189
5,aware,11,29,29,1.0,21,0,0.0,29,293,0.16551724137945284,0.16551724137945284,12.100000000001799,0.0,29,29,27,21,0,8,4.359863042831421
5,aware,12,29,29,1.0,22,1,0.045454545454545456,29,293,0.20689655172431337,0.20689655172431337,12.100000000001799,3.2000000000000015,29,29,27,22,1,7,4.2194664478302
5,aware,13,29,29,1.0,21,0,0.0,29,295,0.17586206896563467,0.17586206896563467,12.100000000001799,0.0,29,29,25,21,0,8,4.310673713684082
5,aware,14,29,29,1.0,20,0,0.0,29,292,0.08965517241385661,0.08965517241385661,12.100000000001799,0.0,29,29,29,20,0,9,4.3331427574157715
10,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.4931864738464355
10,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5226690769195557
10,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.514951229095459
10,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.5155608654022217
10,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5449445247650146
10,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.5328755378723145
10,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5229835510253906
10,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5466234683990479
10,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5434062480926514
10,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5388188362121582
10,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5304031372070312
10,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.545987844467163
10,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5745875835418701
10,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.550114631652832
10,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.536691427230835
10,detection,0,29,29,1.0,23,4,0.17391304347826086,29,291,0.5068965517247579,0.5068965517247579,12.100000000001799,0.0,29,29,29,23,0,6,2.8787827491760254
10,detection,1,29,29,1.0,19,1,0.05263157894736842,29,292,0.45517241379367734,0.3965517241384916,12.100000000001799,1.4000000000000001,29,29,26,19,1,10,2.870204210281372
10,detection,2,29,29,1.0,19,1,0.05263157894736842,29,291,0.32758620689697804,0.32758620689697804,12.100000000001799,0.0,29,29,28,19,0,10,2.854893207550049
10,detection,3,29,29,1.0,23,1,0.043478260869565216,29,290,0.3068965517243224,0.3068965517243224,12.100000000001799,1.6000000000000003,29,29,29,23,1,6,2.870994806289673
10,detection,4,29,29,1.0,21,0,0.0,29,293,0.8724137931044895,0.5448275862075065,12.100000000001799,0.0,29,29,29,21,0,8,2.8784847259521484
10,detection,5,29,29,1.0,27,1,0.037037037037037035,29,293,0.29655172413838854,0.21034482758635076,12.100000000001799,0.0,29,29,28,27,0,2,2.8680901527404785
10,detection,6,29,29,1.0,24,2,0.08333333333333333,29,293,0.3448275862073278,0.21724137931053142,12.100000000001799,0.0,29,29,29,24,0,5,2.920621395111084
10,detection,7,29,29,1.0,22,0,0.0,29,291,0.5206896551735093,0.2793103448278036,12.100000000001799,0.0,29,29,29,22,0,7,2.8948214054107666
10,detection,8,29,29,1.0,20,1,0.05,29,293,0.11034482758632215,0.11034482758632215,12.100000000001799,0.0,29,29,28,20,0,9,2.8835713863372803
10,detection,9,29,29,1.0,17,0,0.0,29,290,0.4344827586213794,0.3310344827589341,12.100000000001799,2.600000000000001,29,29,28,17,2,12,2.9118947982788086
10,detection,10,29,29,1.0,18,0,0.0,29,290,0.20344827586238573,0.20344827586238573,12.100000000001799,0.0,29,29,26,18,0,11,2.910162925720215
10,detection,11,29,29,1.0,23,3,0.13043478260869565,29,287,0.42068965517280543,0.3551724137934351,12.100000000001799,0.0,29,29,28,23,0,6,2.8951168060302734
10,detection,12,29,29,1.0,19,0,0.0,29,294,0.4482758620695771,0.4241379310351123,12.100000000001799,0.0,29,29,28,19,0,10,2.8892462253570557
10,detection,13,29,29,1.0,25,2,0.08,29,291,0.4379310344830836,0.4172413793105946,12.100000000001799,0.0,29,29,29,25,0,4,2.8502566814422607
10,detection,14,29,29,1.0,17,0,0.0,29,291,0.24137931034514512,0.24137931034514512,12.100000000001799,0.0,29,29,29,17,0,12,2.897395133972168
10,aware,0,29,29,1.0,26,0,0.0,29,295,0.37931034482798903,0.32413793103482597,12.100000000001799,3.600000000000002,29,29,28,26,1,3,2.958758592605591
10,aware,1,29,29,1.0,23,1,0.043478260869565216,29,292,0.4034482758625292,0.23793103448293032,12.100000000001799,2.1000000000000005,29,29,29,23,1,6,2.9206430912017822
10,aware,2,29,29,1.0,20,4,0.2,29,292,0.27586206896590537,0.27586206896590537,12.100000000001799,2.9000000000000012,29,29,27,20,1,9,2.907534599304199
10,aware,3,29,29,1.0,24,0,0.0,29,292,0.2758620689659602,0.2758620689659602,12.100000000001799,0.0,29,29,29,24,0,5,2.93044114112854
10,aware,4,29,29,1.0,20,3,0.15,29,291,0.27586206896586124,0.27586206896586124,12.100000000001799,3.0000000000000013,29,29,26,20,1,9,2.88080096244812
10,aware,5,29,29,1.0,22,1,0.045454545454545456,29,289,0.3310344827590429,0.21034482758657227,12.100000000001799,0.0,29,29,28,22,0,7,2.975663661956787
10,aware,6,29,29,1.0,18,2,0.1111111111111111,29,292,0.317241379310709,0.317241379310709,12.100000000001799,2.1000000000000005,29,29,26,18,1,11,2.8980154991149902
10,aware,7,29,29,1.0,23,1,0.043478260869565216,29,294,0.49310344827633584,0.4896551724142543,12.100000000001799,0.0,29,29,28,23,0,6,2.9131829738616943
10,aware,8,29,29,1.0,20,4,0.2,29,292,0.33793103448347056,0.28275862069027613,12.100000000001799,0.0,29,29,27,20,0,9,2.8627398014068604
10,aware,9,29,29,1.0,20,1,0.05,29,289,0.41034482758655305,0.40000000000035557,12.100000000001799,0.0,29,29,29,20,0,9,2.917401075363159
10,aware,10,29,29,1.0,23,1,0.043478260869565216,29,291,0.3275862068967605,0.3206896551726288,12.100000000001799,0.0,29,29,28,23,0,6,2.8941378593444824
10,aware,11,29,29,1.0,18,2,0.1111111111111111,29,294,0.31379310344874706,0.31379310344874706,12.100000000001799,0.0,29,29,28,18,0,11,2.9235239028930664
10,aware,12,29,29,1.0,22,0,0.0,29,292,0.4137931034486316,0.36206896551740897,12.100000000001799,0.0,29,29,29,22,0,7,2.9172892570495605
10,aware,13,29,29,1.0,24,3,0.125,29,291,0.2517241379313142,0.2517241379313142,12.100000000001799,0.0,29,29,27,24,0,5,2.9210007190704346
10,aware,14,29,29,1.0,18,1,0.05555555555555555,29,290,0.31379310344844913,0.31379310344844913,12.100000000001799,0.0,29,29,27,18,0,11,2.8942296504974365
15,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.4777922630310059
15,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5529003143310547
15,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.5101826190948486
15,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.4989302158355713
15,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5589408874511719
15,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.5118112564086914
15,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5583784580230713
15,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5067152976989746
15,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5812249183654785
15,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5651054382324219
15,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5340662002563477
15,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.508521318435669
15,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5171620845794678
15,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5117993354797363
15,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.498868703842163
15,detection,0,29,28,0.9655172413793104,20,3,0.15,28,279,1.6321428571461627,0.25357142857174914,11.683333333335037,0.0,29,29,27,20,0,9,2.4091169834136963
15,detection,1,29,29,1.0,20,2,0.1,29,291,2.717241379314691,0.2379310344827892,12.100000000001799,2.700000000000001,29,29,28,20,1,9,2.5239756107330322
15,detection,2,29,29,1.0,20,3,0.15,29,290,2.148275862071915,0.16551724137942542,12.100000000001799,0.0,29,29,25,20,0,9,2.4972305297851562
15,detection,3,29,28,0.9655172413793104,20,0,0.0,28,279,2.0107142857174645,0.2892857142859516,11.683333333335037,0.0,29,29,25,20,0,9,2.476828098297119
15,detection,4,29,29,1.0,19,2,0.10526315789473684,29,292,2.6965517241371897,0.24827586206920327,12.100000000001799,0.0,29,29,26,19,0,10,2.4857194423675537
15,detection,5,29,29,1.0,21,0,0.0,29,289,2.672413793106103,0.2758620689657035,12.100000000001799,0.0,29,29,26,21,0,8,2.544529914855957
15,detection,6,29,29,1.0,20,1,0.05,29,291,2.1965517241394537,0.36896551724176113,12.100000000001799,1.8000000000000005,29,29,28,20,1,9,2.477652072906494
15,detection,7,29,29,1.0,20,0,0.0,29,293,1.9689655172435254,0.28620689655226456,12.100000000001799,0.0,29,29,28,20,0,9,2.4277288913726807
15,detection,8,29,27,0.9310344827586207,15,2,0.13333333333333333,27,276,3.2555555555578706,0.4259259259265996,11.266666666668275,2.700000000000001,29,29,23,15,1,14,2.4528913497924805
15,detection,9,29,29,1.0,19,0,0.0,29,290,1.7448275862090603,0.23103448275908778,12.100000000001799,1.3,29,29,26,19,1,10,2.517711877822876
15,detection,10,29,28,0.9655172413793104,19,0,0.0,28,278,2.0785714285744916,0.2750000000004239,11.681944444446149,0.0,29,29,25,19,0,10,2.451033592224121
15,detection,11,29,29,1.0,23,3,0.13043478260869565,29,289,3.351724137936827,0.30000000000036614,12.100000000001799,0.0,29,29,29,23,0,6,2.4390664100646973
15,detection,12,29,28,0.9655172413793104,16,0,0.0,28,278,2.3642857142871736,0.42142857142921536,11.683333333335037,3.5000000000000018,29,29,25,16,1,13,2.4818544387817383
15,detection,13,29,29,1.0,21,0,0.0,29,289,2.103448275863591,0.2724137931038356,12.100000000001799,3.0000000000000013,29,29,28,21,1,8,2.4713354110717773
15,detection,14,29,29,1.0,24,0,0.0,29,291,2.424137931036469,0.36551724137995406,12.100000000001799,0.0,29,29,28,24,0,5,2.444875717163086
15,aware,0,29,29,1.0,20,0,0.0,29,295,3.089655172417807,0.2827586206898439,12.100000000001799,0.0,29,29,26,20,0,9,2.424285411834717
15,aware,1,29,29,1.0,17,1,0.058823529411764705,29,287,3.624137931038996,0.3793103448280135,12.100000000001799,0.0,29,29,26,17,0,12,2.515338182449341
15,aware,2,29,29,1.0,19,2,0.10526315789473684,29,294,2.7724137931066424,0.2862068965520793,12.100000000001799,0.0,29,29,28,19,0,10,2.4890263080596924
15,aware,3,29,29,1.0,22,3,0.13636363636363635,29,290,1.5586206896577575,0.1862068965518253,12.100000000001799,0.0,29,29,29,22,0,7,2.606902837753296
15,aware,4,29,29,1.0,21,1,0.047619047619047616,29,290,2.8551724137949894,0.3655172413793562,12.100000000001799,0.0,29,29,29,21,0,8,2.5202014446258545
15,aware,5,29,29,1.0,21,1,0.047619047619047616,29,290,2.4586206896573124,0.29655172413854336,12.100000000001799,0.0,29,29,28,21,0,8,2.4638314247131348
15,aware,6,29,28,0.9655172413793104,15,2,0.13333333333333333,28,284,2.514285714288047,0.2500000000001411,11.683333333335037,0.0,29,29,22,15,0,14,2.514368772506714
15,aware,7,29,29,1.0,17,1,0.058823529411764705,29,292,3.389655172417021,0.2793103448277026,12.100000000001799,0.0,29,29,26,17,0,12,2.524749755859375
15,aware,8,29,28,0.9655172413793104,19,0,0.0,28,282,2.164285714289144,0.2892857142858897,11.681944444446149,0.0,29,29,25,19,0,10,2.427860975265503
15,aware,9,29,29,1.0,17,0,0.0,29,292,3.113793103453981,0.2655172413795785,12.100000000001799,0.0,29,29,27,17,0,12,2.4995718002319336
15,aware,10,29,29,1.0,18,1,0.05555555555555555,29,288,2.4275862069008123,0.286206896552092,12.100000000001799,0.0,29,29,27,18,0,11,2.551483154296875
15,aware,11,29,29,1.0,20,1,0.05,29,292,2.7482758620716425,0.35172413793145063,12.100000000001799,0.0,29,29,27,20,0,9,2.458042860031128
15,aware,12,29,29,1.0,23,0,0.0,29,293,3.4517241379319614,0.3448275862073484,12.100000000001799,1.8000000000000005,29,29,27,23,1,6,2.454010009765625
15,aware,13,29,29,1.0,23,3,0.13043478260869565,29,290,2.7931034482785355,0.33103448275915853,12.100000000001799,2.600000000000001,29,29,29,23,1,6,2.4768340587615967
15,aware,14,29,29,1.0,20,1,0.05,29,289,2.7620689655222512,0.3482758620693897,12.100000000001799,0.0,29,29,27,20,0,9,2.499464511871338
20,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.4714860916137695
20,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5036981105804443
20,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.5225300788879395
20,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.5969212055206299
20,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.52345871925354
20,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.5211477279663086
20,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.6016490459442139
20,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5753302574157715
20,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5610530376434326
20,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5237178802490234
20,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5044920444488525
20,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5073857307434082
20,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5106759071350098
20,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5531916618347168
20,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5094430446624756
20,detection,0,29,28,0.9655172413793104,16,1,0.0625,28,279,4.11785714286406,0.30000000000044685,11.681944444446149,0.0,29,29,25,16,0,13,2.226717233657837
20,detection,1,29,28,0.9655172413793104,23,1,0.043478260869565216,28,282,4.360714285718729,0.3571428571433799,11.681944444446149,0.0,29,29,27,23,0,6,2.2074239253997803
20,detection,2,29,29,1.0,14,0,0.0,29,288,3.4413793103510386,0.28275862069014773,12.100000000001799,0.0,29,29,26,14,0,15,2.2509500980377197
20,detection,3,29,29,1.0,18,2,0.1111111111111111,29,289,4.851724137936286,0.2137931034485489,12.100000000001799,4.699999999999999,29,29,26,18,2,11,2.2606453895568848
20,detection,4,29,29,1.0,18,2,0.1111111111111111,29,291,3.6689655172454407,0.3655172413798237,12.100000000001799,0.0,29,29,25,18,0,11,2.2832770347595215
20,detection,5,29,29,1.0,25,0,0.0,29,292,3.1275862069014084,0.17241379310366978,12.100000000001799,0.0,29,29,27,25,0,4,2.184811592102051
20,detection,6,29,28,0.9655172413793104,19,0,0.0,28,280,3.5785714285747994,0.35000000000023285,11.681944444446149,0.0,29,29,25,19,0,10,2.233633518218994
20,detection,7,29,29,1.0,19,1,0.05263157894736842,29,292,3.1896551724164324,0.3413793103454158,12.100000000001799,0.0,29,29,27,19,0,10,2.211169958114624
20,detection,8,29,27,0.9310344827586207,21,1,0.047619047619047616,27,267,3.2703703703759266,0.17777777777811504,11.265277777779387,0.0,29,29,27,21,0,8,2.2003066539764404
20,detection,9,29,27,0.9310344827586207,21,0,0.0,27,270,4.107407407412275,0.2888888888893209,11.263888888890497,0.0,29,29,25,21,0,8,2.1955530643463135
20,detection,10,29,28,0.9655172413793104,17,1,0.058823529411764705,28,281,3.58571428571759,0.22857142857155768,11.683333333335037,2.700000000000001,29,29,27,17,1,12,2.235936164855957
20,detection,11,29,28,0.9655172413793104,21,1,0.047619047619047616,28,276,2.485714285716481,0.37857142857216025,11.681944444446149,0.0,29,29,27,21,0,8,2.190105438232422
